ClickNumber,RotationAngle
1,1.8
2,353.85
3,334.85
4,324.1
5,356.85
6,69.89999
7,80.1
8,104.95
9,137.3
10,109.35
11,75.50001
12,72.19999
13,44.5
14,351.45
15,348.95
16,342.4
17,338
18,340.2
19,340.25
20,2.799991
1,-179.1
2,168.55
3,177.7
4,177.8
5,177.8
6,177.8
7,-67.99996
8,1.15004
9,8.550018
10,31.50003
11,75.05002
12,111.4
13,104.7
14,90.35001
15,-89.19998
16,179.55
1,-157.35
2,-178.5
3,-178.5
4,-179.85
5,-179.95
6,179.65
7,-179.65
8,-179.85
9,-179.85
10,-179.85
11,-179.85
12,-179.85
13,-179.85
14,-179.85
1,1.2
2,0.6500001
3,0.55
4,331.65
5,318.55
6,50.5
